Proteína,Organismo,PubChemID,Status,Fonte
FATTY-ACID-CoA LIGASE FADD28 (FATTY-ACID-CoA SYNTHETASE) (FATTY-ACID-CoA SYNTHASE),Mycobacterium tuberculosis,CAB06100,encontrada,NCBI
glucose-6-phosphate dehydrogenase-6-phosphogluconolactonase,Plasmodium berghei,CAC24715,encontrada,NCBI
LMP1 [Human herpesvirus 4],human gammaherpesvirus,CAD53472,encontrada,NCBI
"S100A4, partial",Homo sapiens,CAG29341,encontrada,NCBI
LARGE,Homo sapiens,CAG30396,encontrada,NCBI
CDK5,Homo sapiens,CAG33322,encontrada,NCBI
IDH1,Homo sapiens,CAG38738,encontrada,NCBI
DNA topoisomerase I,Yersinia pestis,CAL20848,encontrada,NCBI
"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",Homo sapiens,CAQ08732,encontrada,NCBI
priA,Klebsiella pneumoniae,CDO16358,encontrada,NCBI
ssb,Klebsiella pneumoniae,CDO16711,encontrada,NCBI
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2, isoform CRA_a",Homo sapiens,EAW58811,encontrada,NCBI
"phospholipase A2, group III",Homo sapiens,EAW59941,encontrada,NCBI
"caspase recruitment domain family, member 15",Homo sapiens,EAW82767,encontrada,NCBI
hypothetical protein G057_19877,Klebsiella pneumoniae,EMB09144,encontrada,NCBI
beta-2 adrenergic receptor,Homo sapiens,NP_000015,encontrada,NCBI
Bloom syndrome protein isoform 1,Homo sapiens,NP_000048,encontrada,NCBI
lysosomal alpha-glucosidase preproprotein,Homo sapiens,NP_000143,encontrada,NCBI
menin isoform 1,Homo sapiens,NP_000235,encontrada,NCBI
major prion protein preproprotein Prp precursor,Homo sapiens,NP_000302,encontrada,NCBI
"troponin I, cardiac muscle",Homo sapiens,NP_000354,encontrada,NCBI
"platelet-activating factor acetylhydrolase 2, cytoplasmic",Homo sapiens,NP_000428,encontrada,NCBI
nuclear receptor subfamily 0 group B member 1,Homo sapiens,NP_000466,encontrada,NCBI
cystic fibrosis transmembrane conductance regulator,Homo sapiens,NP_000483,encontrada,NCBI
hemoglobin subunit beta,Homo sapiens,NP_000509,encontrada,NCBI
cellular tumor antigen p53 isoform a,Homo sapiens,NP_000537,encontrada,NCBI
interleukin-1 beta proprotein,Homo sapiens,NP_000567,encontrada,NCBI
interferon gamma precursor,Homo sapiens,NP_000610,encontrada,NCBI
polyunsaturated fatty acid lipoxygenase ALOX12,Homo sapiens,NP_000688,encontrada,NCBI
muscarinic acetylcholine receptor M1,Homo sapiens,NP_000729,encontrada,NCBI
muscarinic acetylcholine receptor M4,Homo sapiens,NP_000732,encontrada,NCBI
D(2) dopamine receptor isoform long,Homo sapiens,NP_000786,encontrada,NCBI
15-hydroxyprostaglandin dehydrogenase [NAD(+)] isoform 1,Homo sapiens,NP_000851,encontrada,NCBI
delta-type opioid receptor,Homo sapiens,NP_000902,encontrada,NCBI
mu-type opioid receptor isoform MOR-1,Homo sapiens,NP_000905,encontrada,NCBI
ATP-dependent translocase ABCB1 isoform 2,Homo sapiens,NP_000918,encontrada,NCBI
prostaglandin E2 receptor EP2 subtype,Homo sapiens,NP_000947,encontrada,NCBI
"troponin T, cardiac muscle isoform 3",Homo sapiens,NP_001001431,encontrada,NCBI
perilipin-5,Homo sapiens,NP_001013728,encontrada,NCBI
Golgi-associated PDZ and coiled-coil motif-containing protein isoform b,Homo sapiens,NP_001017408,encontrada,NCBI
vitamin D3 receptor isoform VDRA,Homo sapiens,NP_001017535,encontrada,NCBI
Nuclear hormone receptor family member daf-12,Caenorhabditis elegans,NP_001024547,encontrada,NCBI
histone-lysine N-methyltransferase NSD2 isoform 1,Homo sapiens,NP_001035889,encontrada,NCBI
E3 ubiquitin-protein ligase UHRF1 isoform 1,Homo sapiens,NP_001041666,encontrada,NCBI
cAMP-dependent protein kinase type I-alpha regulatory subunit,Bos taurus,NP_001069826,encontrada,NCBI
chromobox protein homolog 1,Homo sapiens,NP_001120700,encontrada,NCBI
thyroid hormone receptor beta isoform a,Homo sapiens,NP_001121649,encontrada,NCBI
transcriptional coactivator YAP1 isoform 1,Homo sapiens,NP_001123617,encontrada,NCBI
nuclear factor erythroid 2-related factor 2 isoform 2,Homo sapiens,NP_001138884,encontrada,NCBI
platelet-activating factor acetylhydrolase IB subunit alpha1,Homo sapiens,NP_001139412,encontrada,NCBI
parathyroid hormone/parathyroid hormone-related peptide receptor precursor,Homo sapiens,NP_001171673,encontrada,NCBI
platelet-activating factor acetylhydrolase IB subunit alpha2 isoform b,Homo sapiens,NP_001171675,encontrada,NCBI
"arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 isoform 2",Homo sapiens,NP_001234925,encontrada,NCBI
microphthalmia-associated transcription factor isoform 9,Homo sapiens,NP_001341533,encontrada,NCBI
DNA (cytosine-5)-methyltransferase 1 isoform b,Homo sapiens,NP_001370,encontrada,NCBI
endothelial PAS domain-containing protein 1,Homo sapiens,NP_001421,encontrada,NCBI
glyceraldehyde-3-phosphate dehydrogenase isoform 1,Homo sapiens,NP_002037,encontrada,NCBI
guanine nucleotide-binding protein G(i) subunit alpha-1 isoform 1,Homo sapiens,NP_002060,encontrada,NCBI
huntingtin isoform 2,Homo sapiens,NP_002102,encontrada,NCBI
importin subunit beta-1 isoform 1,Homo sapiens,NP_002256,encontrada,NCBI
polyadenylate-binding protein 1,Homo sapiens,NP_002559,encontrada,NCBI
cAMP-dependent protein kinase type II-beta regulatory subunit,Homo sapiens,NP_002727,encontrada,NCBI
mitogen-activated protein kinase 1,Homo sapiens,NP_002736,encontrada,NCBI
disintegrin and metalloproteinase domain-containing protein 17 isoform 1 preproprotein,Homo sapiens,NP_003174,encontrada,NCBI
"troponin C, slow skeletal and cardiac muscles",Homo sapiens,NP_003271,encontrada,NCBI
galanin receptor type 3,Homo sapiens,NP_003605,encontrada,NCBI
nuclear receptor coactivator 1 isoform 1 [Homo sapiens],Homo sapiens,NP_003734,encontrada,NCBI
receptor-interacting serine/threonine-protein kinase 2 isoform 1,Homo sapiens,NP_003812,encontrada,NCBI
nuclear receptor subfamily 5 group A member 2 isoform 2,Homo sapiens,NP_003813,encontrada,NCBI
tumor necrosis factor receptor superfamily member 10B isoform 1 precursor,Homo sapiens,NP_003833,encontrada,NCBI
NEDD8-activating enzyme E1 regulatory subunit isoform a,Homo sapiens,NP_003896,encontrada,NCBI
NEDD8-conjugating enzyme Ubc12,Homo sapiens,NP_003960,encontrada,NCBI
fatty acid synthase,Homo sapiens,NP_004095,encontrada,NCBI
flap endonuclease 1,Homo sapiens,NP_004102,encontrada,NCBI
ubiquitin carboxyl-terminal hydrolase 2 isoform a,Homo sapiens,NP_004196,encontrada,NCBI
ras and Rab interactor 1 isoform 1,Homo sapiens,NP_004283,encontrada,NCBI
C-C chemokine receptor type 6,Homo sapiens,NP_004358,encontrada,NCBI
protein AF-9 isoform a,Homo sapiens,NP_004520,encontrada,NCBI
G-protein coupled receptor 183,Homo sapiens,NP_004942,encontrada,NCBI
